Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
FJ Labs,https://www.crunchbase.com/organization/fj-labs,138,9,"New York, New York, United States",FJ Labs is a stage-agnostic New York-based investment firm with global focus. FJ Labs focuses on marketplaces and consumer facing startups.,"Micro VC, Venture Capital","Early Stage Venture, Seed",113,,
Tenaya Capital,https://www.crunchbase.com/organization/tenaya-capital,137,32,"Portola Valley, California, United States","Tenaya Capital is a leading venture capital firm with offices in Woodside, California, and Boston, Massachusetts.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",82,,
Rembrandt Venture Partners,https://www.crunchbase.com/organization/rembrant-venture-partners,136,28,"San Francisco, California, United States","Rembrandt Venture Partners is a team of entrepreneurs, company builders, and investors.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",61,,
Asset Management Ventures (AMV),https://www.crunchbase.com/organization/asset-management-ventures,136,24,"Palo Alto, California, United States","AMV is an established Silicon Valley VC firm investing in early stage digital health, tech and life sciences companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",73,,
Voyager Capital,https://www.crunchbase.com/organization/voyager-capital,136,27,"Seattle, Washington, United States","Voyager Capital, a West Coast-based company, invests in software, cloud, and big data applications in the Pacific Northwest.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",76,,
ASU Venture Devils,https://www.crunchbase.com/organization/asu-venture-devils,136,,"Tempe, Arizona, United States",Arizona State University's venture capital arm.,University Program,,135,,
Formation 8,https://www.crunchbase.com/organization/formation8,135,13,"San Francisco, California, United States","Formation 8, a California-based technology investment firm, focuses on seed, early, and later stage venture investments.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",93,,
Grotech Ventures,https://www.crunchbase.com/organization/grotech-ventures,135,25,"Vienna, Virginia, United States","Grotech Ventures is an early stage venture capital firm with a reputation for being a collaborative, long-term partner for entrepreneurs.",Venture Capital,Early Stage Venture,84,,
Mitsui Global Investment,https://www.crunchbase.com/organization/mitsui-ventures,135,38,"Menlo Park, California, United States",Mitsui Global Investmen is a venture capital fund that focuses on early stage companies. Mitsui's expertise lies in helping,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture",102,,
CIT GAP Funds,https://www.crunchbase.com/organization/cit-gap-funds,135,19,"Herndon, Virginia, United States","CIT GAP Funds makes seed-stage equity investments in technology and life science companies based in Virginia, USA.",Government Office,"Early Stage Venture, Private Equity, Seed",125,,
MedTech Innovator,https://www.crunchbase.com/organization/medtechinnovator,135,2,"Los Angeles, California, United States","MedTech Innovator is a nonprofit global competition and accelerator for medical device, digital health, and diagnostic companies.",Accelerator,,130,,
Allen & Company,https://www.crunchbase.com/organization/allen-and-company,134,43,"New York, New York, United States",Allen & Company is a privately-held merchant banking operation founded in 1922.,Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",107,,
New Leaf Venture Partners,https://www.crunchbase.com/organization/new-leaf-venture-partners,134,30,"New York, New York, United States",New Leaf Venture Partners is a New York- based venture capital firm focused on investments in healthcare technology companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",66,,
Worldview Technology Partners,https://www.crunchbase.com/organization/worldview-technology-partners,134,40,"San Mateo, California, United States",Worldview Technology Partners is a leading venture capital firm focused on investing in and building leading U.S. technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",63,,
Relay Ventures,https://www.crunchbase.com/organization/relay-ventures,133,30,"Menlo Park, California, United States",Relay Ventures is a Canadian venture capital firm focused on investing in early-stage mobile ventures throughout North America.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",73,,
National Institutes of Health,https://www.crunchbase.com/organization/national-institutes-of-health,132,17,"Bethesda, Maryland, United States",National Institutes of Health is a biomedical research facility in the United States that focuses on biomedical and health-related research.,Government Office,"Grant, Seed",109,,
F-Prime Capital Partners,https://www.crunchbase.com/organization/f-prime-capital-partners,132,24,"Cambridge, Massachusetts, United States",F-Prime Capital is a global venture capital firm investing in healthcare and technology.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",91,,
Kodiak Venture Partners,https://www.crunchbase.com/organization/kodiak-venture-partners,132,32,"Wellesley, Massachusetts, United States",Kodiak Venture Partners pursues a disciplined investment strategy that is focused on building seed and early stage technology companies,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",61,,
WI Harper Group,https://www.crunchbase.com/organization/wi-harper-group,131,16,"San Francisco, California, United States","WI Harper Group is a venture capital firm that focuses on early and expansion investments in Mainland China, Taiwan and Silicon Valley.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",94,,
Azure Capital Partners,https://www.crunchbase.com/organization/azure-capital-partners,131,28,"San Francisco, California, United States","Azure Capital Partners is a venture capital firm with over $750 million under management, headquartered in San Francisco, California.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",72,,
Innovation Endeavors,https://www.crunchbase.com/organization/innovation-endeavors,130,13,"Palo Alto, California, United States","Innovation Endeavors invests in visionary founders, transformational technology and emergent ecosystems for a new world. ",Venture Capital,"Early Stage Venture, Seed",89,,
Sherpa Capital,https://www.crunchbase.com/organization/sherpa-ventures,130,18,"San Francisco, California, United States",Sherpa Capital supports the most promising emerging technology-enabled companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",100,,
Indie Bio,https://www.crunchbase.com/organization/synbio-axlr8r,130,,"San Francisco, California, United States",IndieBio is the largest biotech startup accelerator.,Accelerator,Seed,99,On-Site,16
Signatures Capital,https://www.crunchbase.com/organization/signatures-capital,130,34,"Redwood Shores, California, United States",Signatures Capital is a California-based venture capital firm that supports entrepreneurs and leadership teams in building new companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",110,,
ONSET Ventures,https://www.crunchbase.com/organization/onset-ventures,129,25,"Menlo Park, California, United States",ONSET Ventures provides early-stage venture capital in the areas of IT and medical.,Venture Capital,"Early Stage Venture, Late Stage Venture",57,,
Zillionize Angel,https://www.crunchbase.com/organization/zillionize-angel,128,9,"Palo Alto, California, United States",At Zillionize we invest in fast growing startups with huge potential ahead.,Angel Group,Seed,123,,
QueensBridge Venture Partners,https://www.crunchbase.com/organization/queensbridge-venture-partners,128,25,"Los Angeles, California, United States","QueensBridge Venture Partners, LLC (""QBVP) has a history of engaging in highly competitive and visible markets.",Micro VC,"Debt, Early Stage Venture, Late Stage Venture, Seed",117,,
JumpStart Inc.,https://www.crunchbase.com/organization/jumpstartinc,127,6,"Cleveland, Ohio, United States",JumpStart Inc. is an Ohio-based non-profit organization that offers development assistance to entrepreneurs in Northeast Ohio.,Venture Capital,"Early Stage Venture, Private Equity, Seed",89,,
Vulcan Capital,https://www.crunchbase.com/organization/vulcan-capital,127,27,"Seattle, Washington, United States","Vulcan Capital is the investment arm of Paul Allen's private company, Vulcan Inc.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",84,,
New York Angels,https://www.crunchbase.com/organization/new-york-angels,127,17,"New York, New York, United States",New York Angels is a professional angel organization comprised of 110+ individually investing members.,Angel Group,"Debt, Early Stage Venture, Seed",97,,
Alchemist Accelerator,https://www.crunchbase.com/organization/alchemist-accelerator,126,14,"San Francisco, California, United States",The Alchemist Accelerator is a venture-backed initiative focused on accelerating startups whose revenue comes from enterprises.,Accelerator,"Early Stage Venture, Seed",118,On-Site,24
Scott Banister,https://www.crunchbase.com/person/scott-banister,126,34,"San Francisco, California, United States",Scott is an American entrepreneur and angel investor. He is best known as a co-founder of IronPort and an early advisor and board member at ...,Individual/Angel,Seed,110,,
Mercury Fund,https://www.crunchbase.com/organization/mercury-fund,125,14,"Houston, Texas, United States","Mercury Fund is an early-stage venture capital firm. With over $200 million under management, Mercury invests in the middle of the U.S.",Venture Capital,Early Stage Venture,51,,
Alexis Ohanian,https://www.crunchbase.com/person/alexis-ohanian,125,28,"San Francisco, California, United States","Alexis Ohanian, born April 24, 1983, is an entrepreneur and investor in Brooklyn, NY, best known as the co-founder and executive chair of re...","Individual/Angel, Investment Partner",Seed,112,,
Paul Buchheit,https://www.crunchbase.com/person/paul-buchheit,124,35,"Mountain View, California, United States","Paul Buchheit co-founded social network aggregator [FriendFeed](/organization/friendfeed), along with three other former [Google](/organizat...","Individual/Angel, Investment Partner",Seed,119,,
MassChallenge,https://www.crunchbase.com/organization/masschallenge,123,7,"Boston, Massachusetts, United States",MassChallenge is the most startup-friendly accelerator on the planet.,Accelerator,,115,On-Site,16
Acequia Capital (Acecap),https://www.crunchbase.com/organization/acequia-capital,123,15,"Seattle, Washington, United States",Acequia Capital is focused on advising early stage founders and teams that have passion and conviction about the power of software.,Micro VC,"Early Stage Venture, Seed",103,,
ComVentures,https://www.crunchbase.com/organization/comventures,123,42,"Palo Alto, California, United States",ComVentures is a U.S.-based venture capital firm focused on investments in digital media and communications companies.,Venture Capital,"Early Stage Venture, Late Stage Venture",72,,
Safeguard Scientifics,https://www.crunchbase.com/organization/safeguard-scientifics,122,27,"Radnor, Pennsylvania, United States",Safeguard Scientifics provides capital and operational support to growth-stage health care and technology companies.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",85,,
Wei Guo,https://www.crunchbase.com/person/wei-guo-2,122,8,"San Francisco, California, United States","Wei Guo, managing partner of UpHonest Capital and founder of Wei Fund, was recognized in the 2016’s Top 20 Global Cross-Border Early Stage C...","Individual/Angel, Investment Partner",Seed,116,,
Bloomberg Beta,https://www.crunchbase.com/organization/bloomberg-beta,122,11,"San Francisco, California, United States","Bloomberg Beta is an early-stage venture fund backed by Bloomberg that invests in startups making work better, focusing on machine learning.","Corporate Venture Capital, Venture Capital","Early Stage Venture, Seed",84,,
EPIC Ventures,https://www.crunchbase.com/organization/epic-ventures,121,16,"Salt Lake City, Utah, United States",EPIC Ventures is an investment company working with driven entrepreneurs to build successful and lasting companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",69,,
Morgan Stanley,https://www.crunchbase.com/organization/morgan-stanley,120,48,"Palo Alto, California, United States","Morgan Stanley is an American financial services company that offers securities, asset management, and credit services.",Investment Bank,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",108,,
Sprout Group,https://www.crunchbase.com/organization/the-sprout-group,120,36,"New York, New York, United States",Sprout Group is one of the oldest and largest institutional venture capital firms focused on emerging companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",75,,
KKR & Co. (Kohlberg Kravis Roberts & Co.),https://www.crunchbase.com/organization/kkr,119,33,"New York, New York, United States","KKR is a global alternative asset manager focusing on private equity, fixed income, and capital markets.",Private Equity Firm,"Late Stage Venture, Private Equity",104,,
Dorm Room Fund,https://www.crunchbase.com/organization/dorm-room-fund,119,4,"Philadelphia, Pennsylvania, United States",Dorm Room Fund is the strongest community of entrepreneurial students in the nation.,Micro VC,Seed,113,,
El Dorado Ventures,https://www.crunchbase.com/organization/el-dorado-ventures,118,33,"Menlo Park, California, United States",El Dorado Ventures invests in early-stage companies with disruptive technology and business models in emerging and high-growth markets.,Venture Capital,"Early Stage Venture, Late Stage Venture",57,,
Greenspring Associates,https://www.crunchbase.com/organization/greenspring-associates,118,55,"Owings Mills, Maryland, United States",Greenspring Associates funds secondary investments in venture capital funds and expansion stage venture-backed companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",98,,
Collaborative Fund,https://www.crunchbase.com/organization/collaborative-fund,117,9,"New York, New York, United States",Collaborative Fund is a New York-based company that provides funding to companies based on creativity and collaborative consumption.,Micro VC,"Early Stage Venture, Seed",88,,
Daniel Curran,https://www.crunchbase.com/person/daniel-curran,117,12,"San Francisco, California, United States",Available to advise/help fund/lead USA startups with over $200k ARR: dcurran at custex dot com. 2016 A16Z deal: http://bit.ly/2d67xJc with f...,Individual/Angel,"Early Stage Venture, Seed",112,,
SR One,https://www.crunchbase.com/organization/sr-one,117,24,"Cambridge, Massachusetts, United States",SR One is the corporate venture capital arm of GlaxoSmithKline.,Corporate Venture Capital,,70,,
Enterprise Partners,https://www.crunchbase.com/organization/enterprise-partners,117,29,"La Jolla, California, United States",Enterprise Partners was founded in 1985 and is one of the few venture firms that have consistently focused on investing in Southern,"Micro VC, Venture Capital","Early Stage Venture, Late Stage Venture",53,,
Novak Biddle Venture Partners,https://www.crunchbase.com/organization/novak-biddle-venture-partners,117,34,"Bethesda, Maryland, United States","Novak Biddle Venture Partners provides equity financing and assistance to the management of young, information technology companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",60,,
Dingman Center Angels,https://www.crunchbase.com/organization/dingman-center-angels,115,8,"College Park, Maryland, United States",The Dingman Center Angels is a Maryland based angel investment group that provides funding to early-stage companies.,Angel Group,"Debt, Seed",77,,
Digital Currency Group,https://www.crunchbase.com/organization/digital-currency-group,115,6,"New York, New York, United States","At Digital Currency Group, we build and support bitcoin and blockchain companies by leveraging our insights, network, and access to capital.",,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed",88,,
Keiretsu Forum Northwest,https://www.crunchbase.com/organization/keiretsu-forum-northwest,114,5,"Seattle, Washington, United States","Keiretsu Forum Northwest is a Washington-based angel investor focused on early-stage technology, real estate, and medical device companies.",Angel Group,"Early Stage Venture, Seed",114,,
Three Arch Partners,https://www.crunchbase.com/organization/three-arch-partners,114,30,"Portola Valley, California, United States","Three Arch Partners was formed in 1993 to provide young companies with access to relevant clinical and business resources, as well as",Venture Capital,"Early Stage Venture, Late Stage Venture",60,,
Pelion Venture Partners,https://www.crunchbase.com/organization/pelion-venture-partners,113,20,"Salt Lake City, Utah, United States","Formerly UV Partners Since 1986, Pelion Venture Partners has been helping entrepreneurs turn early-stage concepts into tomorrow's",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",72,,
Naval Ravikant,https://www.crunchbase.com/person/naval-ravikant,113,37,"San Francisco, California, United States",Naval Ravikant is the CEO and a co-founder of AngelList. He previously co-founded Epinions (which went public as part of Shopping.com) and V...,"Individual/Angel, Investment Partner",Seed,98,,
Streamlined Ventures,https://www.crunchbase.com/organization/streamlined-ventures,112,20,"Palo Alto, California, United States","Lead seed stage investors focused on companies in Applied AI/Data Science, Quantum Computing, Blockchain, AR/VR, and Robotics.",Venture Capital,"Early Stage Venture, Seed",91,,
Maine Angels,https://www.crunchbase.com/organization/maine-angels,112,,"Portland, Maine, United States",Maine Angels was founded in 2003 to enhance regional economic development by providing a cooperative mechanism for qualified investors to,Angel Group,"Early Stage Venture, Seed",51,,
OVP Venture Partners,https://www.crunchbase.com/organization/ovp-venture-partners,111,28,"Seattle, Washington, United States",OVP Venture Partners is a venture capital firm specializing in early-stage technology-based companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",54,,
Crescendo Ventures,https://www.crunchbase.com/organization/crescendo-ventures,111,32,"Palo Alto, California, United States","Crescendo Ventures is a venture capital firm based in Palo Alto, CA.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",58,,
TL Ventures,https://www.crunchbase.com/organization/tl-ventures,111,28,"Wayne, Pennsylvania, United States",TL Ventures works in the business of venture capital.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",69,,
Google Launchpad Accelerator,https://www.crunchbase.com/organization/launchpad-accelerator,110,2,"Mountain View, California, United States",Launchpad Accelerator helps startups from around the world in developing the world’s greatest apps.,Accelerator,,110,,24
Florida Institute for the Commercialization of Public Research,https://www.crunchbase.com/organization/institute-for-the-commercialization-of-public-research,110,2,"Boca Raton, Florida, United States",Florida Institute for the Commercialization of Public Research supports new company creation based on publicly-funded research.,Micro VC,Seed,71,,
Osage University Partners,https://www.crunchbase.com/organization/osage-university-partners,110,22,"Bala Cynwyd, Pennsylvania, United States",Osage University Partners is a venture capital fund investing in start-ups that commercialize university research.,"University Program, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",72,,
Steamboat Ventures,https://www.crunchbase.com/organization/steamboat-ventures,110,26,"Glendale, California, United States",Named after the Mickey Mouse cartoon Steamboat Willie -- a great innovation at the time -- we help young companies become market leaders.,Corporate Venture Capital,,55,,
Labrador Ventures,https://www.crunchbase.com/organization/labrador-ventures,110,34,"Palo Alto, California, United States","Labrador Ventures is a seed stage venture fund in Silicon Valley. With over $200 million under management, Labrador has invested in more",Venture Capital,"Early Stage Venture, Late Stage Venture",58,,
NextView Ventures,https://www.crunchbase.com/organization/nextview-ventures,109,14,"Boston, Massachusetts, United States",Seed-stage VC for founders redesigning the Everyday Economy.,Venture Capital,"Debt, Seed",63,,
NGP Capital,https://www.crunchbase.com/organization/nokia-growth-partners,109,31,"Palo Alto, California, United States",Backing entrepreneurs focused on building a connected world. Investing globally.,Venture Capital,Late Stage Venture,74,,
Webb Investment Network,https://www.crunchbase.com/organization/webb-investment-network,107,26,"San Francisco, California, United States",Maynard Webb created the Webb Investment Network in 2010 to formalize the investing he has done over the past fifteen years.,Family Investment Office,"Early Stage Venture, Seed",73,,
Oreilly AlphaTech Ventures,https://www.crunchbase.com/organization/oreilly-alphatech-ventures,107,7,"San Francisco, California, United States","O'Reilly AlphaTech Ventures (OATV) is in the business of funding disruptors, innovators, and hackers of the status quo.",,,56,,
Noro-Moseley Partners,https://www.crunchbase.com/organization/noro-moseley-partners,107,32,"Atlanta, Georgia, United States","NMP is a venture capital firm that has invested in more than 160 promising start-ups and early-growth-stage companies in the technology,",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",67,,
Fenox Venture Capital,https://www.crunchbase.com/organization/fenox-venture-capital,106,11,"San Jose, California, United States","Fenox Venture Capital is an equity firm that invests in IT, health IT, AI, robotics, big data, VR/AR, and Fintech startups.",Venture Capital,"Early Stage Venture, Seed",85,,
Norwest Equity Partners (NEP),https://www.crunchbase.com/organization/norwest-equity-partners,106,47,"Minneapolis, Minnesota, United States",NEP is a leading middle market investment firm focused on partnering with business owners to build companies into industry leaders.,Private Equity Firm,Private Equity,99,,
Silverton Partners,https://www.crunchbase.com/organization/silverton-partners,106,26,"Austin, Texas, United States",Silverton Partners is an early-stage venture capital firm based in Austin.,Venture Capital,"Early Stage Venture, Seed",56,,
5AM Ventures,https://www.crunchbase.com/organization/5am-ventures,106,21,"Menlo Park, California, United States",5AM Ventures is a California-based venture capital firm that aims to finance seed- and early-stage life sciences companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",55,,
Hyde Park Venture Partners,https://www.crunchbase.com/organization/hyde-park-venture-partners,105,9,"Chicago, Illinois, United States",Hyde Park Venture Partners (HPVP) is an early stage venture capital fund investing in seed and Series A software companies in the Midwest.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",69,,
Mark Cuban,https://www.crunchbase.com/person/mark-cuban,104,16,"Dallas, Texas, United States","Since the age of 12, Mark has been a natural businessman. Selling garbage bags door to door, the seed was planted early on for what would ev...","Individual/Angel, Investment Partner",Seed,75,,
Marc Benioff,https://www.crunchbase.com/person/marc-benioff,104,18,"San Francisco, California, United States","Marc Benioff is chairman and CEO of Salesforce. One of the pioneers of cloud computing, Benioff founded the company in 1999 with a vision to...",Individual/Angel,Seed,76,,
AlphaLab,https://www.crunchbase.com/organization/alphalab,104,5,"Pittsburgh, Pennsylvania, United States",AlphaLab is a nationally ranked software accelerator helping early-stage tech companies quickly figure out the best way to build and grow.,Accelerator,"Early Stage Venture, Seed",98,On-Site,16
JMI Equity,https://www.crunchbase.com/organization/jmi-equity,104,36,"Baltimore, Maryland, United States","JMI Equity is a Maryland-based growth equity firm that invests in software, internet, business services, and healthcare IT companies.",Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",72,,
Chicago Ventures,https://www.crunchbase.com/organization/chicago-ventures,104,13,"Chicago, Illinois, United States","An early-stage venture capital fund, investing in exceptional entrepreneurs in the Central US.",Venture Capital,"Debt, Early Stage Venture, Seed",71,,
Baird Capital,https://www.crunchbase.com/organization/baird-capital,104,21,"Milwaukee, Wisconsin, United States","Baird Capital makes venture capital, growth equity, and private equity investments in strategically-targeted sectors around the world.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",62,,
Fidelity Ventures,https://www.crunchbase.com/organization/fidelity-ventures,104,39,"Boston, Massachusetts, United States",Fidelity Ventures provides capital and other resources that help portfolio companies bring new products and services to market.,Venture Capital,"Early Stage Venture, Late Stage Venture",62,,
St. Paul Venture Capital,https://www.crunchbase.com/organization/st-paul-venture-capital,104,45,"Minneapolis, Minnesota, United States",St. Paul Venture Capital is an American private equity firm that invests in early-stage companies.,Venture Capital,Early Stage Venture,64,,
Forerunner Ventures,https://www.crunchbase.com/organization/forerunner-ventures,103,11,"San Francisco, California, United States",Forerunner Ventures is an early-stage VC firm dedicated to partnering with ambitious entrepreneurs.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",59,,
International Finance Corporation,https://www.crunchbase.com/organization/international-finance-corporation,103,12,"Washington, District of Columbia, United States",International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries.,"Government Office, Private Equity Firm","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",88,,
IA Ventures,https://www.crunchbase.com/organization/ia-ventures,103,14,"New York, New York, United States",IA Ventures is a venture capital firm that specializes in seed-stage and early-stage investments in the fintech sector. ,Venture Capital,"Early Stage Venture, Seed",53,,
QED Investors,https://www.crunchbase.com/organization/qed-investors,103,13,"Alexandria, Virginia, United States",QED Investors actively supports high-growth businesses that use information to compete — and win.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",63,,
Rothenberg Ventures,https://www.crunchbase.com/organization/rothenberg-ventures,103,16,"San Francisco, California, United States",Rothenberg Ventures invests in early-stage Frontier Technology startups.,Micro VC,"Early Stage Venture, Seed",85,,
Founders' Co-op,https://www.crunchbase.com/organization/founders-co-op,103,22,"Seattle, Washington, United States",Founders' Co-op is a seed-stage investment fund based in the Pacific Northwest.,,"Early Stage Venture, Seed",79,,
Harris & Harris Group,https://www.crunchbase.com/organization/harris-harris-group,103,19,"New York, New York, United States","With some 25 tiny technology companies in our portfolio, Harris & Harris Group, Inc.Â®, is one of the most active nanotechnology investors",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",53,,
Clearstone Venture Partners,https://www.crunchbase.com/organization/clearstone-venture-partners,103,21,"Santa Monica, California, United States","Founded by Bill Elkus in 1998, Clearstone Venture Partners is a venture capital firm with offices in Santa Monica and Menlo Park,",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",54,,
JK&B Capital,https://www.crunchbase.com/organization/jk-b-capital,103,30,"Chicago, Illinois, United States","JK&B Capital is a venture capital firm focused in the software, IT and commu- nications markets with over $1.1 billion of capital under",Venture Capital,"Early Stage Venture, Late Stage Venture",58,,
SamsungNEXT Ventures,https://www.crunchbase.com/organization/samsungnext,102,11,"Mountain View, California, United States",Samsung NEXT Ventures invests in transformative early-stage software and services startups.,Venture Capital,"Early Stage Venture, Seed",69,,
Ridge Ventures (Formerly known as IDG Ventures USA),https://www.crunchbase.com/organization/idg-ventures-usa,102,20,"San Francisco, California, United States","Ridge Ventures is a fast, flexible, and founder-focused early stage venture capital fund.",Venture Capital,Early Stage Venture,77,,
JPMorgan Partners (JPMP),https://www.crunchbase.com/organization/j-p-morgan-partners,102,46,"New York, New York, United States","J.P. Morgan Partners, LLC (JPMP) is a private equity division of JPMorgan Chase & Co. (NYSE: JPM), one of the largest financial.",Investment Bank,"Early Stage Venture, Late Stage Venture, Private Equity",74,,
Accomplice,https://www.crunchbase.com/organization/accomplice-atlas-venture,102,8,"Cambridge, Massachusetts, United States",Accomplice (FKA Atlas Venture)  is an early-stage venture capital firm that invests in technology startup companies.,Venture Capital,"Early Stage Venture, Seed",82,,
Focus Ventures,https://www.crunchbase.com/organization/focus-ventures,102,46,"Palo Alto, California, United States","Focus Ventures is a California-based venture capital firm that finances software, communications, and semiconductor companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",69,,
Mission Ventures,https://www.crunchbase.com/organization/mission-ventures,102,26,"San Diego, California, United States",Mission Ventures is a California-based venture capital firm providing investment and guidance to early-stage companies in emerging markets.,Venture Capital,"Early Stage Venture, Late Stage Venture",48,,
Lehman Brothers,https://www.crunchbase.com/organization/lehman-brothers,102,49,"New York, New York, United States",Lehman Brothers is a global financial services firm.,Investment Bank,"Early Stage Venture, Late Stage Venture",72,,
BoomStartup,https://www.crunchbase.com/organization/boomstartup,101,5,"Salt Lake City, Utah, United States",BoomStartup is a Utah-based accelerator that provides seed funding and mentorship to tech entrepreneurs.,Accelerator,Seed,99,On-Site,
Commonwealth Capital Ventures,https://www.crunchbase.com/organization/commonwealth-capital-ventures,101,32,"Boston, Massachusetts, United States",Commonwealth Capital Ventures is a leading venture capital firm focused on early and growth stage technology companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",54,,
Oxford Bioscience Partners,https://www.crunchbase.com/organization/oxford-bioscience-partners,101,33,"Boston, Massachusetts, United States","Oxford Bioscience Partners (OBP), established in 1992, is a venture capital firm that provides equity financing and management assistance",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",55,,
Dell Technologies Capital,https://www.crunchbase.com/organization/dell-technologies-capital,100,3,"Palo Alto, California, United States",Dell Technologies Capital is the VC arm of Dell Technologies that embraces innovation and entrepreneurship.,Corporate Venture Capital,"Early Stage Venture, Seed",48,,
Expansion Venture Capital,https://www.crunchbase.com/organization/expansion-venture-capital,100,9,"New York, New York, United States",Expansion Venture Capital is a New York-based company providing investment and mentorship to early- and growth-stage companies.,Micro VC,"Early Stage Venture, Late Stage Venture, Seed",70,,
BDMI,https://www.crunchbase.com/organization/bertelsmann-digital-media-investments,100,13,"New York, New York, United States","BDMI is a New York-based venture capital firm focused on investments in digital media technologies, products, and distribution channels.",Corporate Venture Capital,Seed,67,,
Advantage Capital,https://www.crunchbase.com/organization/advantage-capital-partners,99,27,"New Orleans, Louisiana, United States",Advantage Capital provides equity and debt financing.,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",78,,
T. Rowe Price,https://www.crunchbase.com/organization/t-rowe-price,99,42,"Baltimore, Maryland, United States",T. Rowe Price is a Maryland-based investment management firm dedicated to funding technology startups.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",77,,
.406 Ventures,https://www.crunchbase.com/organization/406-ventures,99,9,"Boston, Massachusetts, United States",.406 Ventures provides capital and support for early stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",45,,
HIG Capital,https://www.crunchbase.com/organization/hig-capital,99,28,"Miami, Florida, United States",HIG Capital is an American global private equity and alternative assets investment firm with over $20 billion of capital under management.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",68,,
Square 1 Bank,https://www.crunchbase.com/organization/square-1-bank,99,27,"Durham, North Carolina, United States",Square 1 Bank is a full-service commercial bank that provides financial services to entrepreneurs and venture capitalists.,Venture Debt,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo",94,,
Rustic Canyon Partners,https://www.crunchbase.com/organization/rustic-canyon-partners,99,28,"Santa Monica, California, United States","Rustic Canyon Partners is California-based, early-stage venture capital firm focused on digital media, e-commerce, and SaaS-based companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",60,,
HarbourVest Partners,https://www.crunchbase.com/organization/harbourvest-partners,98,41,"Boston, Massachusetts, United States",HarbourVest is an independent investment firm that provides innovative private equity solutions to institutional clients worldwide.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",71,,
