Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Boingo Wireless,https://www.crunchbase.com/organization/boingo-wireless,"Hardware, Mobile, Software","Los Angeles, California, United States",Boingo Wireless is a company providing mobile internet through Wi-Fi networks globally.,"7,530",2001,Active,,,,,,,,,1,501-1000,4,IPO,"Dec 1, 2014","$50,000,000",Post-IPO Debt,"$65,000,000",Series C,"$90,000,000","$140,000,000",1,8,Made Acquisitions,Public,"May 4, 2011",,"$439,129,310","$77,895,000"
Compass,https://www.crunchbase.com/organization/compass-co,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States",Compass is the leading solution for automated management reports and benchmarks for small and medium-sized online businesses.,"7,598","Dec 1, 2010",Active,,For Profit,,,,,,,3,11-50,3,M&A,"Jun 28, 2016","$1,000,000",Seed,"$1,000,000",Seed,"$4,700,000","$4,700,000",,17,Was Acquired,Private,,,,
GridPoint,https://www.crunchbase.com/organization/gridpoint,"Data and Analytics, Energy, Software, Sustainability","Arlington, Virginia, United States","GridPoint is a clean tech company delivering a comprehensive suite of hardware and software, and other related services.","7,661",2003,Active,,,,,,,,,1,101-250,11,M&A,"Jul 2, 2014","$22,200,000",Debt Financing,"$23,288,886",Private Equity,"$285,388,886","$307,588,886",3,11,"Made Acquisitions, Was Acquired",Private,,,,
Stormpath,https://www.crunchbase.com/organization/stormpath,"Information Technology, Privacy and Security, Software","San Mateo, California, United States",Authentication & User Management API,"7,684",Jan 2012,Active,,For Profit,,,,,,,2,11-50,3,M&A,"Sep 28, 2015","$15,000,000",Series B,"$15,000,000",Series B,"$24,700,000","$24,700,000",4,5,Was Acquired,Private,,,,
Wit.ai,https://www.crunchbase.com/organization/wit-ai,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software","Palo Alto, California, United States",Wit.ai makes it easy for developers to build a Siri-like speech interface for their app or device.,"7,974","Oct 31, 2013",Closed,Aug 2017,For Profit,,,,,,,3,1-10,2,M&A,"Oct 15, 2014","$3,000,000",Seed,"$3,000,000",Seed,"$3,000,000","$3,000,000",1,9,Was Acquired,Private,,,,
SolidFire,https://www.crunchbase.com/organization/solidfire,"Energy, Hardware, Information Technology, Internet Services, Software","Boulder, Colorado, United States","SolidFire builds scale-out, high-performance storage systems for cloud service providers.","8,074",2010,Active,,For Profit,,,,,,,1,251-500,5,M&A,"Oct 7, 2014","$82,000,000",Series D,"$82,000,000",Series D,"$150,035,000","$150,035,000",5,6,Was Acquired,Private,,,,
AddThis,https://www.crunchbase.com/organization/addthis,"Data and Analytics, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software","Vienna, Virginia, United States","AddThis provides social engagement tools, APIs and services personalizing websites for engagement, monetization and traffic boosting.","8,130",2004,Active,,For Profit,,,,,,,2,101-250,7,M&A,"Sep 1, 2014",,Secondary Market,"$17,000,000",Private Equity,"$73,000,000","$73,000,000",5,12,"Made Acquisitions, Was Acquired",Private,,,,
Nicira Networks,https://www.crunchbase.com/organization/nicira,"Hardware, Internet Services, Software","Palo Alto, California, United States","Nicira Networks delivers software that virtualizes the network and enables elastic, scale-out data centers.","8,133",2007,Active,,,,,,,,,1,51-100,4,M&A,"Feb 3, 2011","$26,000,000",Series C,"$26,000,000",Series C,"$41,815,432","$41,815,432",,6,Was Acquired,Private,,,,
Causes,https://www.crunchbase.com/organization/causes,"Apps, Government and Military, Software","San Francisco, California, United States",Causes.com is an online campaigning platform for people who support a common cause.,"8,148","Jan 1, 2007",Active,,For Profit,,,7,8,1,2,2,51-100,3,M&A,"Oct 18, 2010","$9,000,000",Series C,"$9,000,000",Series C,"$16,350,000","$16,350,000",2,6,"Made Acquisitions, Was Acquired",Private,,,,
ACADIA Pharmaceuticals,https://www.crunchbase.com/organization/acadia-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering","San Diego, California, United States",ACADIA Pharmaceuticals develops and commercializes small molecule drugs for the treatment of central nervous system disorders.,"8,155",1993,Active,,For Profit,,,,,,,,101-250,5,IPO,"Jan 2, 2013","$86,385,000",Post-IPO Equity,"$86,385,000",Post-IPO Equity,"$156,385,000","$156,385,000",1,9,,Public,"May 27, 2004",,"$112,000,000","$35,000,000"
Senseonics,https://www.crunchbase.com/organization/senseonics,"Hardware, Health Care, Science and Engineering","Germantown, Maryland, United States","Senseonics, Inc. is a medical device startup company in Germantown, Maryland.","9,039",1996,Active,,For Profit,,,,,,,1,11-50,10,IPO,"May 31, 2017","$41,000,000",Post-IPO Equity,"$41,000,000",Post-IPO Equity,"$136,299,989","$176,299,989",2,8,,Public,"Apr 27, 2016",,,
Orange Chef,https://www.crunchbase.com/organization/the-orange-chef,"Consumer Electronics, Hardware, Manufacturing, Software","San Francisco, California, United States",Orange Chef designs and manufactures hardware and software applications to answer questions regarding health and nutrition.,"9,062","Apr 1, 2011",Active,,For Profit,,,,,,,4,11-50,2,M&A,"Jun 25, 2015",,Venture - Series Unknown,,Venture - Series Unknown,"$4,900,000","$4,900,000",,21,Was Acquired,Private,,,,
Wedding Party,https://www.crunchbase.com/organization/wedding-party,"Community and Lifestyle, Events, Mobile, Platforms, Software","Palo Alto, California, United States",Wedding Party is an app that collects wedding photos from guests and provides updates on the wedding details.,"9,288","Aug 1, 2012",Active,,,,,,,,,2,11-50,2,M&A,"Dec 19, 2013",,Series A,,Series A,"$1,000,000","$1,000,000",,4,Was Acquired,Private,,,,
Loxo Oncology,https://www.crunchbase.com/organization/loxo-oncology,"Biotechnology, Health Care, Science and Engineering","New York, New York, United States",Loxo Oncology is a biopharmaceutical company focused on targeted cancer therapies for genetically-defined patient populations.,"9,362",2013,Active,,,,,,,,,1,11-50,2,IPO,"May 6, 2014","$24,000,000",Series B,"$24,000,000",Series B,"$57,000,000","$57,000,000",3,3,,Public,"Aug 1, 2014",,,"$69,000,000"
Mattermark,https://www.crunchbase.com/organization/mattermark,"Data and Analytics, Financial Services, Lending and Investments, Software","San Francisco, California, United States",Mattermark is a data platform for venture capital companies to quantify signals of growing and potentially lucrative start-ups.,"9,503",2012,Closed,"Dec 21, 2017",For Profit,,,,,,,3,11-50,5,M&A,"Mar 20, 2016","$7,300,000",Series B,"$7,300,000",Series B,"$17,200,000","$17,200,000",2,44,Was Acquired,Private,,,,
Adaptimmune,https://www.crunchbase.com/organization/adaptimmune,"Biotechnology, Health Care, Science and Engineering","Oxton, York, United Kingdom","Adaptimmune Limited develops T cell therapies to treat cancer, human immunodeficiency virus, and infectious diseases.","9,507",2008,Active,,For Profit,,,,,,,2,51-100,3,IPO,"Apr 11, 2017","$42,000,000",Post-IPO Equity,"$42,000,000",Post-IPO Equity,"$146,000,000","$149,500,000",1,13,,Public,"May 6, 2015",,"$1,200,000,000","$191,300,000"
Alta Devices,https://www.crunchbase.com/organization/alta-devices,"Energy, Manufacturing, Mobile, Natural Resources, Sustainability","Sunnyvale, California, United States",Alta Devices manufactures solar photovoltaic applications for mobile devices that enable the conversion of light into electricity.,"9,676",2007,Active,,,,,,,,,2,51-100,1,M&A,"Mar 9, 2011","$72,000,000",Private Equity,"$72,000,000",Private Equity,"$72,000,000","$72,000,000",,7,Was Acquired,Private,,,,
Do,https://www.crunchbase.com/organization/do,"Internet Services, Messaging and Telecommunications, Software","San Francisco, California, United States","Run Productive Meetings, Do Work You Love","9,898","Nov 1, 2013",Active,,For Profit,,,,,,,1,1-10,3,M&A,"Mar 10, 2015","$2,000,000",Seed,"$2,000,000",Seed,"$2,400,000","$2,400,000",1,16,Was Acquired,Private,,,,
Engine Yard,https://www.crunchbase.com/organization/engineyard,"Apps, Internet Services, Software","San Francisco, California, United States",Engine Yard is Platform-as-a-Service providing tools for creating software applications.,"9,987",2006,Active,,,,,,,,,3,101-250,4,M&A,"Sep 1, 2011",,Venture - Series Unknown,,Venture - Series Unknown,"$37,500,000","$37,500,000",2,6,"Made Acquisitions, Was Acquired",Private,,,,
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,"Data and Analytics, Internet Services, Software","New York, New York, United States",MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,"10,045","Nov 1, 2007",Active,,For Profit,,,,,,,3,501-1000,10,IPO,"Aug 18, 2015",,Venture - Series Unknown,,Venture - Series Unknown,"$311,000,000","$311,000,000",8,14,Made Acquisitions,Public,"Oct 19, 2017",,"$1,570,000,000","$256,000,000"
ChannelAdvisor,https://www.crunchbase.com/organization/channeladvisor,"Commerce and Shopping, Data and Analytics, Internet Services, Software","Morrisville, North Carolina, United States","ChannelAdvisor offers cloud-based e-commerce solutions that enable retailers to integrate, manage and optimize their sales activities.","10,339","Jul 1, 2001",Active,,For Profit,,,,,,,2,251-500,5,IPO,"Sep 5, 2008","$20,000,000",Series D,"$20,000,000",Series D,"$80,700,000","$80,700,000",3,8,Made Acquisitions,Public,"May 23, 2013",,"$286,601,854","$80,500,000"
Champions Oncology,https://www.crunchbase.com/organization/champions-oncology,"Biotechnology, Health Care, Science and Engineering","Hackensack, New Jersey, United States",Champions Oncology develops advanced technology solutions and services for personalizing the development and use of oncology drugs.,"10,687",1985,Active,,,,,,,,,,51-100,5,IPO,"Mar 12, 2015","$14,000,000",Post-IPO Equity,"$14,000,000",Post-IPO Equity,"$34,800,000","$36,800,000",,4,,Public,"Jan 10, 2003",,,
SiTime,https://www.crunchbase.com/organization/sitime,"Hardware, Manufacturing, Science and Engineering, Transportation","Sunnyvale, California, United States",SiTime Corporation is an analog semiconductor company offering MEMS-based silicon timing solutions.,"10,720",2005,Active,,,,,,,,,1,51-100,7,M&A,"Sep 23, 2014","$15,000,000",Debt Financing,"$10,000,000",Series G,"$90,517,223","$105,517,223",3,14,Was Acquired,Private,,,,
Rhythm Pharmaceuticals,https://www.crunchbase.com/organization/rhythm-pharmaceuticals-2,Health Care,"Boston, Massachusetts, United States",Rhythm is a biopharmaceutical company focused on developing and commercializing peptide therapeutics,"11,032",,Active,,For Profit,,,,,,,1,11-50,1,IPO,"Feb 16, 2017","$41,000,000",Venture - Series Unknown,"$41,000,000",Venture - Series Unknown,"$41,000,000","$41,000,000",,7,,Public,"Oct 5, 2017",,"$443,240,000","$120,000,000"
OpsClarity,https://www.crunchbase.com/organization/opsclarity,"Data and Analytics, Hardware, Information Technology, Internet Services","Sunnyvale, California, United States",Intelligent Monitoring for Modern Applications and Data Infrastructure,"11,062",2013,Active,,For Profit,,,,,,,3,11-50,3,M&A,"Dec 3, 2015","$11,000,000",Series A,"$11,000,000",Series A,"$19,430,740","$21,230,740",1,5,Was Acquired,Private,,,,
Eucalyptus Systems,https://www.crunchbase.com/organization/eucalyptus-systems-inc,"Information Technology, Internet Services, Software","Goleta, California, United States",Eucalyptus Systems offers open source software that enable organizations to build AWS-compatible private and hybrid clouds,"11,190",2009,Active,,,,,,,,,2,51-100,3,M&A,"Apr 18, 2012","$30,000,000",Series C,"$30,000,000",Series C,"$55,500,000","$55,500,000",3,4,Was Acquired,Private,,,,
"Stitcher, Inc.",https://www.crunchbase.com/organization/stitcher-2,"Advertising, Content and Publishing, Media and Entertainment, Mobile, Music and Audio, Sales and Marketing, Sports","San Francisco, California, United States","Stitcher, Inc. develops Stitcher, a mobile application for news and shows.","11,194",2007,Active,,For Profit,,,,,,,3,11-50,3,M&A,"Sep 21, 2011","$10,000,000",Series C,"$10,000,000",Series C,"$16,100,000","$16,100,000",2,5,Was Acquired,Private,,,,
Mersana Therapeutics,https://www.crunchbase.com/organization/mersana-therapeutics,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",Mersana Therapeutics develops a biodegradable polymer platform Fleximer® which creates new and better medicines.,"11,258",2005,Active,,For Profit,,,,,,,1,11-50,7,IPO,"Jun 16, 2016","$33,000,000",Series C,"$33,000,000",Series C,"$130,505,371","$143,005,371",4,15,,Public,"Jun 28, 2017",,"$339,000,000","$75,000,000"
Broadview Networks,https://www.crunchbase.com/organization/broadview-networks,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software","Rye, New York, United States","Broadview Networks provides voice and data communications, and managed network solutions for SMBs and enterprises.","11,513",1996,Active,,For Profit,,,,,,,,501-1000,7,M&A,"Sep 20, 2012","$25,000,000",Debt Financing,"$40,000,000",Series F,"$229,685,729","$254,685,729",1,9,"Made Acquisitions, Was Acquired",Public,"Feb 7, 2014",,,
TalentBin,https://www.crunchbase.com/organization/talentbin,"Internet Services, Professional Services","San Francisco, California, United States",TalentBin operates a talent search engine that allows technical recruiters and hiring managers to find passive candidates.,"11,545","May 20, 2011",Active,,,,,,,,,2,11-50,2,M&A,"Jul 16, 2013","$2,000,000",Series A,"$2,000,000",Series A,"$3,200,000","$3,200,000",1,7,Was Acquired,Private,,,,
Aurinia Pharmaceuticals,https://www.crunchbase.com/organization/aurinia-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering","Edmonton, Alberta, Canada",Isotechnika Pharma Inc. is a biopharmaceutical company focused on the discovery and development of immunomodulating therapeutics designed,"11,696",1993,Active,,For Profit,,,,,,,2,11-50,3,IPO,"Mar 20, 2017","$173,100,000",Post-IPO Equity,"$173,100,000",Post-IPO Equity,"$253,850,000","$253,850,000",,9,,Public,"Sep 29, 2000",,,
Clementia Pharmaceuticals,https://www.crunchbase.com/organization/clementia-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering","Montréal, Quebec, Canada",Clementia is a biopharmaceutical company dedicated to bringing effective new treatments to people who have none.,"11,702",2012,Active,,For Profit,,,,,,,1,11-50,3,IPO,"Jun 23, 2015","$60,000,000",Venture - Series Unknown,"$60,000,000",Venture - Series Unknown,"$92,500,000","$92,500,000",2,9,,Public,"Aug 22, 2017",,"$457,000,000","$147,000,000"
Huddler,https://www.crunchbase.com/organization/huddler,"Internet Services, Mobile, Software","San Francisco, California, United States",Huddler is a digital media company and technology platform that facilitates the revamping of online forums and websites.,"12,109","Apr 1, 2007",Active,,,,,,,,,3,51-100,3,M&A,"Jan 1, 2011","$17,000,000",Series B,"$17,000,000",Series B,"$22,750,000","$22,750,000",1,5,Was Acquired,Private,,,,
Gainspeed,https://www.crunchbase.com/organization/gainspeed,"Hardware, Media and Entertainment, Video","Sunnyvale, California, United States",Gainspeed is redefining how cable networks are built.,"12,203",2012,Active,,For Profit,,,,,,,4,11-50,4,M&A,"Jun 2, 2015","$12,500,000",Series C,"$12,500,000",Series C,"$60,771,995","$60,771,995",1,4,Was Acquired,Private,,,,
Xfire,https://www.crunchbase.com/organization/xfire,Gaming,"Santa Monica, California, United States","Xfire provides social gaming and networking services, shares in-game screen shots and videos, and live-streams gameplay.","12,516",2002,Active,,For Profit,,,,,,,3,11-50,6,M&A,"May 21, 2012","$3,000,000",Venture - Series Unknown,"$3,000,000",Venture - Series Unknown,"$19,500,000","$19,500,000",4,10,Was Acquired,Private,,,,
NodePrime,https://www.crunchbase.com/organization/nodeprime,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Software","San Francisco, California, United States",NodePrime develops datacenter infrastructure platforms.,"12,609","Feb 4, 2013",Active,,For Profit,,,,,,,3,11-50,2,M&A,"Sep 30, 2015","$7,000,000",Seed,"$7,000,000",Seed,"$8,500,000","$8,500,000",,8,Was Acquired,Private,,,,
Nuelle,https://www.crunchbase.com/organization/nuelle,Health Care,"Mountain View, California, United States",Nuelle™ is a sexual wellness and intimate care company focused on delivering groundbreaking solutions made specifically for women.,"12,751",2012,Active,,For Profit,,,,,,,1,11-50,2,M&A,"Apr 20, 2015","$7,050,358",Venture - Series Unknown,"$7,050,358",Venture - Series Unknown,"$22,050,358","$22,050,358",,3,Was Acquired,Private,,,,
Hyperion Therapeutics,https://www.crunchbase.com/organization/hyperion,"Biotechnology, Health Care, Science and Engineering","South San Francisco, California, United States",Hyperion Therapeutics is a biopharmaceutical company focused on creating treatments for urea cycle disorders and other rare diseases.,"13,155",2006,Active,,For Profit,,,,,,,1,501-1000,7,M&A,"Nov 4, 2011","$7,500,749",Debt Financing,"$17,471,998",Venture - Series Unknown,"$117,471,998","$152,972,747",1,8,"Made Acquisitions, Was Acquired",Public,"Jul 26, 2012",,,"$50,000,000"
ObsEva,https://www.crunchbase.com/organization/obseva,"Biotechnology, Health Care, Science and Engineering","Plan-les-ouates, Geneve, Switzerland",ObsEva is a speciality biopharmaceutical company developing drugs for women’s reproductive medicine.,"13,246","Nov 1, 2012",Active,,For Profit,,,,,,,2,11-50,2,IPO,"Nov 23, 2015","$60,000,000",Series B,"$60,000,000",Series B,"$93,900,325","$93,900,325",2,7,,Public,"Jan 26, 2017",,"$96,750,000",
Proteostasis Therapeutics,https://www.crunchbase.com/organization/proteostasis-therapeutics,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",Proteostasis Therapeutics discovers and develops novel small molecule therapeutics to control the body's protein homeostasis.,"13,630",2007,Active,,For Profit,,,,,,,,51-100,3,IPO,"Sep 8, 2015","$37,000,000",Series B,"$37,000,000",Series B,"$107,623,000","$110,635,271",2,7,,Public,"Feb 1, 2016",,,"$50,000,000"
Mediaocean,https://www.crunchbase.com/organization/mediabank,"Advertising, Data and Analytics, Sales and Marketing, Software","New York, New York, United States",Mediaocean provides software platforms for the advertising community.,"13,794",2006,Active,,For Profit,,,1,1,1,,1,501-1000,3,M&A,"Jul 22, 2008",,Series E,,Series E,"$40,500,000","$40,500,000",1,2,"Made Acquisitions, Was Acquired",Private,,,,
newBrandAnalytics,https://www.crunchbase.com/organization/newbrandanalytics,"Data and Analytics, Internet Services, Sales and Marketing, Software, Travel and Tourism","Washington, District of Columbia, United States",newBrandAnalytics offers social BI solutions that deliver consumer intelligence and competitive insights for the hospitality sector.,"13,949","Apr 15, 2010",Active,,For Profit,,,,,,,2,101-250,3,M&A,"Apr 29, 2014","$5,032,735",Venture - Series Unknown,"$5,032,735",Venture - Series Unknown,"$35,032,734","$35,032,734",1,4,Was Acquired,Private,,,,
Ra Pharmaceuticals,https://www.crunchbase.com/organization/ra-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States","Ra Pharma is developing Cyclomimetics™, a new drug class combining the properties and benefits of antibodies and small molecules.","13,962",2008,Active,,,,,,,,,2,11-50,3,IPO,"Jul 23, 2015","$58,500,000",Series B,"$58,500,000",Series B,"$77,433,082","$77,433,082",1,9,,Public,"Oct 27, 2016",,,"$92,000,000"
Embrane,https://www.crunchbase.com/organization/embrane,"Hardware, Information Technology, Privacy and Security, Software","Santa Clara, California, United States","Embrane is a provider of application-centric network services including firewalls, VPNs, load balancers and SSL offload engines.","13,965",2009,Active,,For Profit,,,,,,,2,,2,M&A,"Mar 25, 2014","$14,000,000",Series C,"$14,000,000",Series C,"$32,000,000","$32,000,000",2,4,Was Acquired,Private,,,,
Oculeve,https://www.crunchbase.com/organization/oculeve,"Biotechnology, Health Care, Science and Engineering","San Francisco, California, United States",Oculeve is a biotech company focused on developing novel treatments for dry eye.,"14,426",2011,Active,,,,,,,,,,11-50,4,M&A,"Mar 16, 2014","$16,649,997",Venture - Series Unknown,"$16,649,997",Venture - Series Unknown,"$31,805,473","$32,305,473",,2,Was Acquired,Private,,,,
Cerecor,https://www.crunchbase.com/organization/cerecor,"Biotechnology, Health Care, Science and Engineering","Baltimore, Maryland, United States","Cerecor discovers, develops and commercializes neuroscience drugs.","14,541",2011,Active,,,,,,,,,2,11-50,5,IPO,"Apr 28, 2017","$5,000,000",Post-IPO Equity,"$5,000,000",Post-IPO Equity,"$65,943,184","$66,943,184",3,4,Made Acquisitions,Public,"Oct 16, 2015",,,"$26,000,000"
Akari Therapeutics,https://www.crunchbase.com/organization/celsus-therapeutics,"Biotechnology, Health Care, Science and Engineering","London, England, United Kingdom",Akari is a clinical-stage biopharmaceutical company focused on the development and commercialization of innovative therapeutics,"14,827",2005,Active,,For Profit,,,,,,,,11-50,2,IPO,"Sep 21, 2015","$75,000,000",Private Equity,"$75,000,000",Private Equity,"$87,500,000","$87,500,000",1,7,,Public,"May 15, 2013",,,
Shareable Ink,https://www.crunchbase.com/organization/shareable-ink,"Data and Analytics, Health Care, Information Technology, Internet Services, Software","Nashville, Tennessee, United States",Shareable Ink is an enterprise cloud computing firm that transforms point-of-care clinical documentation to structured data and analytics.,"14,874",2009,Active,,For Profit,,,,,,,1,,6,M&A,"May 11, 2015","$3,060,493",Debt Financing,"$10,700,000",Series C,"$24,700,000","$27,760,493",2,6,Was Acquired,Private,,,,
Perfect Commerce,https://www.crunchbase.com/organization/perfect-commerce,"Financial Services, Lending and Investments, Sales and Marketing, Software, Transportation","Deutsch, Sachsen, Germany",Perfect Commerce provides SaaS-based spend management solutions and an open supplier network to aid procurement operations.,"15,146",1998,Active,,For Profit,,,,,,,,251-500,9,M&A,"Jun 20, 2014","$4,387,000",Venture - Series Unknown,"$4,387,000",Venture - Series Unknown,"$97,186,000","$104,135,000",2,16,"Made Acquisitions, Was Acquired",Private,,,,
Epizyme,https://www.crunchbase.com/organization/epizyme,"Biotechnology, Health Care, Science and Engineering","Cambridge, Massachusetts, United States",Epizyme is a biopharmaceutical company focusing on treatments for blood cancer and tumors.,"15,546",2007,Active,,For Profit,,,,,,,2,51-100,5,IPO,"Feb 12, 2014","$10,000,000",Post-IPO Equity,"$10,000,000",Post-IPO Equity,"$61,500,000","$61,500,000",3,9,,Public,"May 30, 2013",,"$400,000,000","$88,700,000"
Rotation Medical,https://www.crunchbase.com/organization/rotation-medical,Health Care,"Plymouth, Minnesota, United States",Rotation Medical develops treatments for rotator cuff disease by reversing disease progression and restoring long-term shoulder function.,"15,674",2009,Active,,For Profit,,,,,,,1,11-50,6,M&A,"Aug 16, 2016","$12,000,000",Series B,"$12,000,000",Series B,"$50,600,000","$56,100,744",2,3,Was Acquired,Private,,,,
Xtera,https://www.crunchbase.com/organization/xtera-communications-inc,"Hardware, Information Technology","Allen, Texas, United States",Xtera is a network equipment and services company providing optical networks for terrestrial and subsea applications.,"15,729",1998,Active,,For Profit,,,,,,,3,501-1000,7,M&A,"Feb 15, 2017",,Venture - Series Unknown,,Venture - Series Unknown,"$119,220,251","$153,764,344",5,6,"Made Acquisitions, Was Acquired",Public,"Nov 20, 2015",,,
Zosano Pharma,https://www.crunchbase.com/organization/zosano-pharma,"Biotechnology, Health Care, Science and Engineering","Fremont, California, United States","Zosano Pharma, a biopharmaceutical company, develops products based on the transdermal delivery technology.","15,755","Oct 1, 2006",Active,,For Profit,,,,,,,1,11-50,10,IPO,"Aug 29, 2016","$7,536,000",Post-IPO Equity,"$7,536,000",Post-IPO Equity,"$154,656,257","$166,224,887",1,7,,Public,"Jan 27, 2015",,,"$50,000,000"
PatientKeeper,https://www.crunchbase.com/organization/patientkeeper,"Consumer Electronics, Hardware, Health Care, Mobile","Waltham, Massachusetts, United States","PatientKeeper develops apps that help physicians review electronic patient records and prescriptions, and consult with other caregivers.","15,951","Nov 16, 1996",Active,,For Profit,,,,,,,3,251-500,11,M&A,"Dec 13, 2012","$900,000",Debt Financing,"$6,250,000",Venture - Series Unknown,"$99,350,000","$102,308,653",7,14,Was Acquired,Private,,,,
TriVascular,https://www.crunchbase.com/organization/trivascular,Health Care,"Santa Rosa, California, United States",TriVascular develops new medical devices providing optimal solutions for endovascular aortic repair (EVAR).,"16,233",1998,Active,,,,,,,,,3,251-500,8,M&A,"Aug 21, 2015","$10,000,000",Post-IPO Debt,"$1,950,270",Venture - Series Unknown,"$256,950,270","$362,950,270",3,11,Was Acquired,Delisted,"Apr 17, 2014","Feb 3, 2016",,"$78,000,000"
Verona Pharma,https://www.crunchbase.com/organization/verona-pharma,"Biotechnology, Health Care, Science and Engineering","London, England, United Kingdom",Verona Pharma is a biotechnology company dedicated to discovering new drugs for the treatment of chronic respiratory diseases.,"16,237",2005,Active,,For Profit,,,,,,,1,,2,IPO,"Jun 20, 2016","£44,700,000",Post-IPO Equity,"£44,700,000",Post-IPO Equity,"$77,127,780","$77,127,780",1,8,,Public,"Apr 7, 2005",,,"$77,800,000"
Linekong,https://www.crunchbase.com/organization/linekong,"Gaming, Media and Entertainment","Dongguancun, Anhui, China",LineKong is an interactive entertainment enterprise that specializes in the research and development of online games.,"16,636","Mar 1, 2007",Active,,,,,2,2,,,1,501-1000,3,IPO,"Jan 20, 2014","$80,000,000",Series C,"$80,000,000",Series C,"$115,000,000","$115,000,000",,7,,Public,"Dec 30, 2014",,,"$93,500,000"
Alimera Sciences,https://www.crunchbase.com/organization/alimera-sciences,"Biotechnology, Health Care, Science and Engineering","Alpharetta, Georgia, United States","Alimera Sciences is a biopharmaceutical company that researches, develops and commercializes prescription ophthalmic pharmaceuticals.","16,689",2003,Active,,For Profit,,,,,,,2,51-100,8,IPO,"Aug 17, 2016","$26,500,000",Post-IPO Equity,"$26,500,000",Post-IPO Equity,"$197,550,000","$232,550,000",2,9,,Public,"Apr 22, 2010",,"$518,000,000","$72,000,000"
Thumbplay,https://www.crunchbase.com/organization/thumbplay,"Content and Publishing, Internet Services, Media and Entertainment, Mobile, Music and Audio, Software, Video","New York, New York, United States","Thumbplay is a cloud-based music subscription service that provides audio, video and gaming content for mobile device users.","17,172","Sep 1, 2004",Active,,,,,,,,,2,51-100,7,M&A,"Apr 21, 2010","$2,500,019",Series F,"$2,500,019",Series F,"$52,000,019","$52,000,019",4,10,Was Acquired,Private,,,,
GoodGuide,https://www.crunchbase.com/organization/goodguide,"Health Care, Internet Services, Mobile, Platforms, Software","San Francisco, California, United States","GoodGuide helps consumers find safe, healthy and green products by providing expert ratings for food, personal care products, and others.","18,052","Dec 1, 2007",Active,,,,,,,,,1,11-50,3,M&A,"Aug 26, 2011","$4,999,998",Private Equity,"$4,999,998",Private Equity,"$14,229,998","$14,229,998",3,4,Was Acquired,Private,,,,
Acclarent,https://www.crunchbase.com/organization/acclarent,"Biotechnology, Health Care, Science and Engineering","Menlo Park, California, United States",Acclarent is a medical device company that develops new technologies to treat patients suffering from ENT disorders.,"18,847","Jun 1, 2004",Active,,,,,,,,,1,251-500,3,M&A,"Jan 12, 2009","$26,000,000",Venture - Series Unknown,"$26,000,000",Venture - Series Unknown,"$86,000,000","$86,000,000",1,5,Was Acquired,Private,,,,
Trevena,https://www.crunchbase.com/organization/trevena,"Biotechnology, Health Care, Science and Engineering","King Of Prussia, Pennsylvania, United States",Trevena is a clinical stage biopharmaceutical company discovering and developing G-protein coupled receptors (GPCR) biased ligands.,"19,051",2007,Active,,For Profit,,,,,,,2,11-50,5,IPO,"Nov 5, 2014","$45,000,000",Post-IPO Equity,"$45,000,000",Post-IPO Equity,"$164,000,000","$174,000,000",3,5,,Public,"Jan 31, 2014",,"$291,000,000","$40,000,000"
Topera,https://www.crunchbase.com/organization/topera,"Hardware, Health Care, Software","San Diego, California, United States",Topera is a medical device company developing a 3D analysis and mapping system to assist electrophysiologists.,"19,094",2010,Active,,For Profit,,,,,,,1,11-50,3,M&A,"Apr 25, 2013","$25,000,000",Series C,"$25,000,000",Series C,"$31,518,531","$31,518,531",1,1,Was Acquired,Private,,,,
